,CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,CompanyNumberFromURI,record_found,ConfStmtIsfDue,non_null_count
246,Bulldog Spirit Limited,15382197,,,Evanside Horn Hill,Barford St. Michael,Banbury,Oxfordshire,United Kingdom,OX15 0RQ,Private Limited Company,Active,United Kingdom,,2024-01-02,31,3,2025-10-02,,NO ACCOUNTS FILED,2025-01-30,,0,0,0,0,55100 - Hotels and similar accommodation,56302 - Public houses and bars,,,0,0,http://business.data.gov.uk/id//company/15382197,,,,,,,,,,,,,,,,,,,,,2026-01-15,2025-01-01,15382197,True,False,31
247,Bulldog Pallets & Sons Ltd,15431666,,,14 Brook Dene,Winslow,Buckingham,,England,MK18 3FU,Private Limited Company,Active,England,,2024-01-22,31,1,2025-10-22,,NO ACCOUNTS FILED,2025-02-19,,0,0,0,0,52290 - Other transportation support activities,,,,0,0,http://business.data.gov.uk/id//company/15431666,,,,,,,,,,,,,,,,,,,,,2026-02-04,2025-01-21,15431666,True,False,29
248,Airlines Payment System Ltd,15434683,,,332 Cable Street,,London,,England,E1 0AE,Private Limited Company,Active,England,,2024-01-23,31,1,2025-10-23,,NO ACCOUNTS FILED,2025-02-20,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/15434683,,,,,,,,,,,,,,,,,,,,,2025-02-05,,15434683,True,True,27
249,Arkview Ltd,15453527,,,117 Limmer Lane,,Bognor Regis,,England,PO22 7LR,Private Limited Company,Active,England,,2024-01-30,31,1,2025-10-30,,NO ACCOUNTS FILED,2025-02-27,,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id//company/15453527,,,,,,,,,,,,,,,,,,,,,2026-02-12,2025-01-29,15453527,True,False,28
250,Airlun Ltd,15491727,,,128 City Road,,London,,United Kingdom,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2024-02-15,29,2,2025-11-15,,NO ACCOUNTS FILED,2025-03-15,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id//company/15491727,,,,,,,,,,,,,,,,,,,,,2025-02-28,,15491727,True,True,27
251,Airmagic Ltd,15519892,,,7 Morfa Gardens,,Coventry,,England,CV6 1PX,Private Limited Company,Active,England,,2024-02-24,29,2,2025-11-24,,NULL,2025-03-24,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id//company/15519892,,,,,,,,,,,,,,,,,,,,,2025-03-09,,15519892,True,True,27
252,Arkstone Group Limited,15528905,,,8-10 South Street,,Epsom,Surrey,England,KT18 7PF,Private Limited Company,Active,England,,2024-02-28,29,2,2025-11-30,,NO ACCOUNTS FILED,2025-03-28,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id//company/15528905,,,,,,,,,,,,,,,,,,,,,2026-03-13,2025-02-27,15528905,True,False,29
253,Bulldog Tavern Ltd,15534785,,,8 Vernon Terrace (Flat 3),C/O Freemanbreckon Accountants,Brighton,,United Kingdom,BN1 3JG,Private Limited Company,Active,United Kingdom,,2024-03-01,31,3,2025-12-01,,NO ACCOUNTS FILED,2025-03-29,,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id//company/15534785,,,,,,,,,,,,,,,,,,,,,2026-03-14,2025-02-28,15534785,True,False,29
254,Bulldog Sunbeds Limited,15556033,,,Unit 2 Campbell's Business Park,Campbell's Meadow,Kings Lynn,Norfolk,England,PE30 4YR,Private Limited Company,Active,England,,2024-03-12,31,3,2025-12-12,,NO ACCOUNTS FILED,2025-04-09,,0,0,0,0,96020 - Hairdressing and other beauty treatment,,,,0,0,http://business.data.gov.uk/id//company/15556033,,,,,,,,,,,,,,,,,,,,,2026-03-20,2025-03-06,15556033,True,False,30
255,Airlink Mk Ltd,15558860,,,29 Favell Drive,Furzton,Milton Keynes,,England,MK4 1AL,Private Limited Company,Active,England,,2024-03-13,31,3,2025-12-13,,NULL,2025-04-10,,0,0,0,0,49390 - Other passenger land transport,,,,0,0,http://business.data.gov.uk/id//company/15558860,,,,,,,,,,,,,,,,,,,,,2025-03-26,,15558860,True,True,28
256,Arkwell 3 Lilac Ltd,15580331,,,128 City Road,,London,,United Kingdom,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2024-03-20,31,3,2025-12-20,,NO ACCOUNTS FILED,2025-04-17,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id//company/15580331,,,,,,,,,,,,,,,,,,,,,2026-04-23,2025-04-09,15580331,True,False,29
257,Bullens Property Services Ltd,15583205,,,76 Ongar Place,,Addlestone,,England,KT15 1JG,Private Limited Company,Active,England,,2024-03-21,31,3,2025-12-21,,NO ACCOUNTS FILED,2025-04-18,,0,0,0,0,43341 - Painting,,,,0,0,http://business.data.gov.uk/id//company/15583205,,,,,,,,,,,,,,,,,,,,,2026-04-03,2025-03-20,15583205,True,False,28
258,Bulldog Ventures Ltd,15589959,,,49 Surrey Place,,Newcastle Upon Tyne,,United Kingdom,NE4 6JD,Private Limited Company,Active,United Kingdom,,2024-03-24,31,3,2025-12-24,,NO ACCOUNTS FILED,2025-04-21,,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id//company/15589959,,,,,,,,,,,,,,,,,,,,,2026-04-06,2025-03-23,15589959,True,False,28
259,Bulldog Scaffolding (Boston) Ltd,15600057,,,62 Wide Bargate,,Boston,,England,PE21 6RY,Private Limited Company,Active,England,,2024-03-28,31,3,2025-12-28,,NO ACCOUNTS FILED,2025-04-25,,0,0,0,0,43991 - Scaffold erection,,,,0,0,http://business.data.gov.uk/id//company/15600057,,,,,,,,,,,,,,,,,,,,,2026-04-10,2025-03-27,15600057,True,False,28
260,Airlynx Cruise Parking Limited,15609240,,,C/O Hjs Chartered Accountants 6 Charlecote Mews,Staple Gardens,Winchester,Hampshire,England,SO23 8SR,Private Limited Company,Active,England,,2024-04-02,30,4,2026-01-02,,NO ACCOUNTS FILED,2025-04-30,,0,0,0,0,52290 - Other transportation support activities,,,,0,0,http://business.data.gov.uk/id//company/15609240,,,,,,,,,,,,,,,,,,,,,2026-04-15,2025-04-01,15609240,True,False,30
261,Bullen No.2 Limited,15682841,,,The Lowlands,Drayton,Norwich,Norfolk,England,NR8 6HA,Private Limited Company,Active,England,,2024-04-26,31,12,2025-09-30,,NO ACCOUNTS FILED,2025-05-24,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id//company/15682841,2024-11-27,BULLEN NO.2 LIMITED,,,,,,,,,,,,,,,,,,,2025-05-09,,15682841,True,True,31
262,Bullen 1921 Limited,15682855,,,The Lowlands,Drayton,Norwich,Norfolk,England,NR8 6HA,Private Limited Company,Active,England,,2024-04-26,31,3,2025-12-31,,NO ACCOUNTS FILED,2025-05-24,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id//company/15682855,2024-11-27,BULLEN 1921 LIMITED,,,,,,,,,,,,,,,,,,,2025-05-09,,15682855,True,True,31
263,Airlink Global Travel Limited,15733939,,,3 Greenfinch Mews,,Fleet,,England,GU51 5DN,Private Limited Company,Active,England,,2024-05-22,31,5,2026-02-22,,NO ACCOUNTS FILED,2025-06-19,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/15733939,,,,,,,,,,,,,,,,,,,,,2025-06-04,,15733939,True,True,27
264,Arkway Plant Hire Ltd,15777373,,,Unit 1d Howden Hall Howden Road,Silsden,Keighley,,England,BD20 0HJ,Private Limited Company,Active,England,,2024-06-13,30,6,2026-03-13,,NULL,2025-07-11,,0,0,0,0,77320 - Renting and leasing of construction and civil engineering machinery and equipment,,,,0,0,http://business.data.gov.uk/id//company/15777373,,,,,,,,,,,,,,,,,,,,,2025-06-26,,15777373,True,True,28
265,Arkway Group Ltd,15778743,,,Unit 1d Howden Hall Industrial Estate,Howden Road,Silsden,West Yorkshire,United Kingdom,BD20 0HJ,Private Limited Company,Active,United Kingdom,,2024-06-14,30,6,2026-03-14,,NULL,2025-07-12,,0,0,0,0,64203 - Activities of construction holding companies,,,,0,0,http://business.data.gov.uk/id//company/15778743,,,,,,,,,,,,,,,,,,,,,2025-06-27,,15778743,True,True,29
266,Bullefx Ltd,15804108,,,15804108 - COMPANIES HOUSE DEFAULT ADDRESS,,Cardiff,Essex,United Kingdom,CF14 8LH,Private Limited Company,Active,United Kingdom,,2024-06-26,30,6,2026-03-26,,NO ACCOUNTS FILED,2025-07-24,,0,0,0,0,62020 - Information technology consultancy activities,63990 - Other information service activities n.e.c.,,,0,0,http://business.data.gov.uk/id//company/15804108,,,,,,,,,,,,,,,,,,,,,2025-07-09,,15804108,True,True,29
267,Airline Tariff Publishing Company,FC014373,,,2340 Dulles Corner Blvd Suite 800,,Herndon,Virginia 20171,United States,,Other company type,Active,United States,,1987-11-02,31,12,,2016-12-31,GROUP,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/FC014373,,,,,,,,,,,,,,,,,,,,,2016-11-16,,FC014373,True,True,26
268,Airly Inc.,FC039704,,,3500 S Dupont Highway Dover,County Of Kent,Delaware,19901,,,Other company type,Active,United States,,2021-09-30,30,9,,,NULL,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/FC039704,2022-08-22,"AIRLY INC., UK BRANCH",,,,,,,,,,,,,,,,,,,,,FC039704,True,True,26
269,Bullen Partnership,LP004843,,,185 London Road,Croydon,,,,CR9 1PT,Limited Partnership,Active,United Kingdom,,1995-04-08,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,9,1,http://business.data.gov.uk/id//company/LP004843,,,,,,,,,,,,,,,,,,,,,2017-04-22,,LP004843,True,True,22
270,Arkver Ltd,NI611577,,,47 Old Park Road,,Ballynahinch,County Down,,BT24 8LY,Private Limited Company,Active,United Kingdom,,2024-04-01,31,3,2025-12-31,2024-03-31,MICRO-ENTITY,2017-04-04,2016-03-07,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id//company/NI611577,,,,,,,,,,,,,,,,,,,,,2026-03-21,2025-03-07,NI611577,True,False,30
271,Bulldog Xtreme Limited,NI645522,,,736b Saintfield Road,Carryduff,Belfast,,Northern Ireland,BT8 8AT,Private Limited Company,Active,Northern Ireland,,2024-06-01,31,5,2026-02-28,2024-05-31,DORMANT,2018-05-30,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id//company/NI645522,,,,,,,,,,,,,,,,,,,,,2026-05-15,2025-05-01,NI645522,True,False,30
272,Arksure Llp,OC314087,,,159 Station Road,Knowle,Solihull,,,B93 0PT,Limited Liability Partnership,Active,United Kingdom,,2024-04-06,5,4,2026-01-05,2024-04-05,MICRO-ENTITY,2016-09-11,2015-08-14,3,3,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/OC314087,,,,,,,,,,,,,,,,,,,,,2025-06-04,2024-05-21,OC314087,True,False,30
273,Arkstone Property Management Llp,OC438695,,,Unit 2.02 High Weald House,Glovers End,Bexhill,East Sussex,United Kingdom,TN39 5ES,Limited Liability Partnership,Active,United Kingdom,,2024-03-31,30,3,2025-12-30,2024-03-30,TOTAL-EXEMPTION-FULL,2022-09-07,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/OC438695,,,,,,,,,,,,,,,,,,,,,2025-08-19,2024-08-05,OC438695,True,False,31
274,Bulldog Residential Properties Llp,OC445056,,,35 Websters Way,,Rayleigh,Essex,United Kingdom,SS6 8JQ,Limited Liability Partnership,Dissolved,United Kingdom,,2022-12-15,30,12,2024-09-15,,NO ACCOUNTS FILED,2024-01-12,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/OC445056,,,,,,,,,,,,,,,,,,,,,2024-12-28,2023-12-14,OC445056,True,False,29
275,Arkwright  Partners Llp,OC445344,,,35 Ballards Lane,,London,,United Kingdom,N3 1XW,Limited Liability Partnership,Active,United Kingdom,,2024-04-01,31,3,2025-12-31,2024-03-31,TOTAL-EXEMPTION-FULL,2024-02-09,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/OC445344,,,,,,,,,,,,,,,,,,,,,2026-01-25,2025-01-11,OC445344,True,False,29
276,Arkwell Properties Limited,OE003727,,,Sovereign House Sovereign House,4 Christian Road,Douglas,,Isle Of Man,IM1 2SD,Overseas Entity,Registered,Isle Of Man,,2022-11-11,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/OE003727,,,,,,,,,,,,,,,,,,,,,2025-11-24,2024-11-10,OE003727,True,False,25
277,Bullen Investments Limited,OE028123,,,57/63 Line Wall Road,,Gibraltar,,Gibraltar,GX11 1AA,Overseas Entity,Registered,Gibraltar,,2023-03-01,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/OE028123,,,,,,,,,,,,,,,,,,,,,2026-03-14,2025-02-28,OE028123,True,False,24
278,Airmac Gdi Limited,SC380200,,,The Mechanics Workshop,New Lanark,Lanark,,Scotland,ML11 9DB,Private Limited Company,Active,Scotland,,2023-12-01,30,11,2025-08-31,2023-11-30,TOTAL-EXEMPTION-FULL,2017-07-09,2016-06-11,0,0,0,0,33190 - Repair of other equipment,,,,0,0,http://business.data.gov.uk/id//company/SC380200,,,,,,,,,,,,,,,,,,,,,2025-11-02,2024-10-19,SC380200,True,False,31
279,Bulldog-Sports Ltd,SC449962,,,Q Court,3 Quality Street,Edinburgh,,Scotland,EH4 5BP,Private Limited Company,Active,Scotland,,2024-01-01,31,12,2025-09-30,2023-12-31,TOTAL-EXEMPTION-FULL,2017-06-11,2016-05-14,0,0,0,0,93199 - Other sports activities,,,,0,0,http://business.data.gov.uk/id//company/SC449962,,,,,,,,,,,,,,,,,,,,,2025-05-28,2024-05-14,SC449962,True,False,31
280,Airliner1 Europe Limited,SC464056,,,19 Colquhoun Avenue,Hillington Park,Glasgow,,,G52 4BN,Private Limited Company,Active,United Kingdom,,2023-12-01,30,11,2025-08-31,2023-11-30,MICRO-ENTITY,2016-12-17,2015-11-19,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id//company/SC464056,,,,,,,,,,,,,,,,,,,,,2025-12-03,2024-11-19,SC464056,True,False,30
281,Airmac Vbe Limited,SC560321,,,The Mechanics Workshop,New Lanark,Lanark,Lanarkshire,United Kingdom,ML11 9DB,Private Limited Company,Active,United Kingdom,,2023-12-01,30,11,2025-08-31,2023-11-30,UNAUDITED-ABRIDGED,2018-04-11,,0,0,0,0,33190 - Repair of other equipment,,,,0,0,http://business.data.gov.uk/id//company/SC560321,,,,,,,,,,,,,,,,,,,,,2026-03-27,2025-03-13,SC560321,True,False,31
282,Airlink Travel (Edi) Limited,SC599411,,,13 Albert Place Albert Place,ALBERT PLACE,Edinburgh,,United Kingdom,EH7 5HN,Private Limited Company,Active,United Kingdom,,2023-07-01,30,6,2025-06-30,2023-06-30,DORMANT,2019-07-06,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/SC599411,,,,,,,,,,,,,,,,,,,,,2025-09-18,2024-09-04,SC599411,True,False,30
283,Bulldog Topsides Limited,SC635627,,,25 Groathill Road South,Craigleith,Edinburgh,,Scotland,EH4 2LS,Private Limited Company,Active,Scotland,,2024-08-01,31,7,2026-04-30,2024-07-31,TOTAL-EXEMPTION-FULL,2020-08-06,,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id//company/SC635627,,,,,,,,,,,,,,,,,,,,,2026-04-21,2025-04-07,SC635627,True,False,30
284,Bulldog Removals Ltd,SC640720,,,First Floor 4 Earls Court,Earls Gate Business Park,Grangemouth,,United Kingdom,FK3 8ZE,Private Limited Company,Active,United Kingdom,,2023-10-01,30,9,2025-06-30,2023-09-30,MICRO-ENTITY,2020-10-02,,0,0,0,0,49420 - Removal services,,,,0,0,http://business.data.gov.uk/id//company/SC640720,,,,,,,,,,,,,,,,,,,,,2025-09-16,2024-09-02,SC640720,True,False,30
285,Arkt Coachworks Ltd,SC642622,,,42 Glebe Street Glebe Street,New Cumnock,Cumnock,,Scotland,KA18 4BE,Private Limited Company,Active,Scotland,,2019-09-25,30,9,2021-06-25,,NO ACCOUNTS FILED,2020-10-23,,0,0,0,0,30200 - Manufacture of railway locomotives and rolling stock,,,,0,0,http://business.data.gov.uk/id//company/SC642622,,,,,,,,,,,,,,,,,,,,,2021-10-08,2020-09-24,SC642622,True,False,29
286,Arl Direct Transport & Distribution Services Limited,SC644654,,,48 Belgrave Street,Bellshill Industrial Estate,Bellshill,,Scotland,ML4 3NP,Private Limited Company,Active,Scotland,,2024-11-01,31,10,2026-07-31,2024-10-31,UNAUDITED-ABRIDGED,2020-11-13,,0,0,0,0,53201 - Licensed carriers,,,,0,0,http://business.data.gov.uk/id//company/SC644654,,,,,,,,,,,,,,,,,,,,,2024-10-29,2023-10-15,SC644654,True,False,30
287,Arkwell Homes Limited,SC696734,,,41 Dundee Road West,Broughty Ferry,Dundee,,Scotland,DD5 1NB,Private Limited Company,Active,Scotland,,2024-05-01,30,4,2026-01-31,2024-04-30,TOTAL-EXEMPTION-FULL,2022-05-21,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id//company/SC696734,,,,,,,,,,,,,,,,,,,,,2025-05-06,2024-04-22,SC696734,True,False,30
288,Arl Direct Transport Ltd,SC779552,,,60 Waverly Street,Unit 2,Coatbridge,,Scotland,ML5 2BE,Private Limited Company,Active,Scotland,,2024-09-01,31,8,2026-05-31,2024-08-31,UNAUDITED-ABRIDGED,2024-09-15,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id//company/SC779552,,,,,,,,,,,,,,,,,,,,,2025-08-31,2024-08-17,SC779552,True,False,30
289,Airlume Ventures Lp,SL030787,,,24 Station Square,Suite 16,Inverness,,Scotland,IV1 1LD,Limited Partnership,Active,Scotland,,2017-03-31,,,,,NULL,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id//company/SL030787,,,,,,,,,,,,,,,,,,,,,2018-04-13,,SL030787,True,True,24
