,CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,CompanyNumberFromURI,record_found,ConfStmtIsfDue,non_null_count
206,Arkville Developments Ltd,14688105,,,71-75 Shelton Street,Covent Garden,London,,United Kingdom,WC2H 9JQ,Private Limited Company,Dissolved,United Kingdom,,2023-02-24,28,2,2024-11-24,,NO ACCOUNTS FILED,2024-03-23,,0,0,0,0,68100 - Buying and selling of own real estate,68310 - Real estate agencies,,,0,0,http://business.data.gov.uk/id//company/14688105,,,,,,,,,,,,,,,,,,,,,2024-03-08,,14688105,True,True,29
207,Airlocate Ltd,14791229,,,5 Ashbourne Grove,,Morecambe,,England,LA3 3NH,Private Limited Company,Dissolved,England,,2023-04-11,30,4,2025-01-11,,NO ACCOUNTS FILED,2024-05-09,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id//company/14791229,,,,,,,,,,,,,,,,,,,,,2024-04-24,,14791229,True,True,27
208,Bulldog Plumbing Services Ltd,14797406,,,65 Ivyhouse Lane,,Bilston,,England,WV14 9JU,Private Limited Company,Active,England,,2024-05-01,30,4,2026-01-31,2024-04-30,MICRO-ENTITY,2024-05-10,,0,0,0,0,"43220 - plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id//company/14797406,,,,,,,,,,,,,,,,,,,,,2026-04-25,2025-04-11,14797406,True,False,29
209,Airloop & Son Ltd,14816025,,,38a Thornton Road,,Belvedere,,England,DA17 6DD,Private Limited Company,Active,England,,2024-05-01,30,4,2026-01-31,2024-04-30,MICRO-ENTITY,2024-05-17,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id//company/14816025,,,,,,,,,,,,,,,,,,,,,2025-05-02,2024-04-18,14816025,True,False,29
210,Bullegy Limited,14828239,,,"152-160 Kemp House, City Road",,London,,United Kingdom,EC1V 2NX,Private Limited Company,Dissolved,United Kingdom,,2023-04-26,30,4,2025-01-26,,NO ACCOUNTS FILED,2024-05-24,,0,0,0,0,46900 - Non-specialised wholesale trade,47910 - Retail sale via mail order houses or via Internet,62020 - Information technology consultancy activities,,0,0,http://business.data.gov.uk/id//company/14828239,,,,,,,,,,,,,,,,,,,,,2024-05-09,,14828239,True,True,29
211,Bullen Power Limited,14828753,,,Lowlands Costessey Lane,Drayton,Norwich,,England,NR8 6HA,Private Limited Company,Active,England,,2024-01-01,31,12,2025-09-30,2023-12-31,DORMANT,2024-05-24,,0,0,0,0,35110 - Production of electricity,,,,0,0,http://business.data.gov.uk/id//company/14828753,,,,,,,,,,,,,,,,,,,,,2026-05-09,2025-04-25,14828753,True,False,30
212,Airlink Technology Services Ltd,14840518,,,1a Sutherland Street,,London,,United Kingdom,SW1V 4LD,Private Limited Company,Active,United Kingdom,,2023-05-02,31,5,2025-02-02,,NO ACCOUNTS FILED,2024-05-30,,0,0,0,0,61900 - Other telecommunications activities,,,,0,0,http://business.data.gov.uk/id//company/14840518,,,,,,,,,,,,,,,,,,,,,2024-05-15,,14840518,True,True,27
213,Bulldog Tv Limited,14850154,,,1 Amwell Street,,London,,England,EC1R 1UL,Private Limited Company,Active,England,,2023-07-01,28,2,2025-06-30,2023-06-30,MICRO-ENTITY,2024-06-02,,0,0,0,0,59113 - Television programme production activities,,,,0,0,http://business.data.gov.uk/id//company/14850154,,,,,,,,,,,,,,,,,,,,,2025-05-18,2024-05-04,14850154,True,False,29
214,Airlines Reservations Ltd,14869092,,4385,14869092 - COMPANIES HOUSE DEFAULT ADDRESS,,Cardiff,,,CF14 8LH,Private Limited Company,Dissolved,United Kingdom,,2023-05-15,31,5,2025-02-15,,NO ACCOUNTS FILED,2024-06-12,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/14869092,,,,,,,,,,,,,,,,,,,,,2024-05-28,,14869092,True,True,27
215,Airline Reservations Ltd,14869093,,4385,Flat 5 61a Kirgate House,,Bradford,,United Kingdom,BD1 1PZ,Private Limited Company,Dissolved,United Kingdom,,,31,5,,,NULL,,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/14869093,,,,,,,,,,,,,,,,,,,,,,,14869093,True,True,24
216,Airlite Consulting Ltd,14881804,,,2nd Floor College House,"17 King Edwards Road,","Ruislip,","London,",United Kingdom,HA4 7AE,Private Limited Company,Active,United Kingdom,,2024-06-01,31,5,2026-02-28,2024-05-31,MICRO-ENTITY,2024-06-16,,0,0,0,0,82110 - Combined office administrative service activities,82990 - Other business support service activities n.e.c.,,,0,0,http://business.data.gov.uk/id//company/14881804,,,,,,,,,,,,,,,,,,,,,2025-06-02,2024-05-19,14881804,True,False,32
217,Bulldogelec Trading Limited,14887131,,,31 Torrington Place,,Branston,,England,LN4 1LG,Private Limited Company,Dissolved,England,,2023-05-23,31,5,2025-02-23,,NO ACCOUNTS FILED,2024-06-20,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id//company/14887131,,,,,,,,,,,,,,,,,,,,,2024-06-05,,14887131,True,True,27
218,Arkstone Ltd,14889916,,,"Office 317, 3rd And 4th Floors, 84 Salop Street",SALOP STREET,Wolverhampton,,England,WV3 0SR,Private Limited Company,Active,England,,2024-06-01,31,5,2026-02-28,2024-05-31,TOTAL-EXEMPTION-FULL,2024-06-20,,2,2,0,0,68100 - Buying and selling of own real estate,68201 - Renting and operating of Housing Association real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,0,0,http://business.data.gov.uk/id//company/14889916,,,,,,,,,,,,,,,,,,,,,2025-08-14,2024-07-31,14889916,True,False,33
219,Airlofty Ltd,14916775,,,"Office 222 Paddington House, New Road","STOCKWOOD BUSINESS PARK, STOCKWOOD",Kidderminster,,United Kingdom,DY10 1AL,Private Limited Company,Active,United Kingdom,,2024-04-06,5,4,2026-01-05,2024-04-05,MICRO-ENTITY,2024-07-04,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id//company/14916775,,,,,,,,,,,,,,,,,,,,,2025-06-19,2024-06-05,14916775,True,False,30
